Name,WHO_Region,Cases_cumulative_total,Cases_newly_reported_in_last_7_days,Cases_newly_reported_in_last_24_hours,Deaths_cumulative_total,Deaths_newly_reported_in_last_7_days,Deaths_newly_reported_in_last_24_hours
Bermuda,Americas,18860.0,0.0,0.0,165.0,0.0,0.0
Maldives,South-East Asia,186694.0,0.0,0.0,316.0,0.0,0.0
Georgia,Europe,1864386.0,0.0,0.0,17151.0,0.0,0.0
Tajikistan,Europe,17786.0,0.0,0.0,125.0,0.0,0.0
Ireland,Europe,1763430.0,335.0,335.0,9881.0,2.0,2.0
Uzbekistan,Europe,175158.0,0.0,0.0,1016.0,0.0,0.0
Jordan,Eastern Mediterranean,1746997.0,0.0,0.0,14122.0,0.0,0.0
Ghana,Africa,172750.0,0.0,0.0,1463.0,0.0,0.0
Namibia,Africa,172557.0,0.0,0.0,4110.0,0.0,0.0
Uganda,Africa,172217.0,0.0,0.0,3632.0,0.0,0.0
Monaco,Europe,17181.0,0.0,0.0,67.0,0.0,0.0
Equatorial Guinea,Africa,17130.0,0.0,0.0,183.0,0.0,0.0
Samoa,Western Pacific,17057.0,0.0,0.0,31.0,0.0,0.0
T�rkiye,Europe,17004724.0,0.0,0.0,101419.0,0.0,0.0
Tonga,Western Pacific,16992.0,0.0,0.0,13.0,0.0,0.0
Nicaragua,Americas,16398.0,0.0,0.0,245.0,0.0,0.0
Marshall Islands,Western Pacific,16297.0,0.0,0.0,17.0,0.0,0.0
Dominica,Americas,16047.0,0.0,0.0,74.0,0.0,0.0
Pakistan,Eastern Mediterranean,1580631.0,0.0,0.0,30656.0,0.0,0.0
Jamaica,Americas,157655.0,0.0,0.0,3634.0,0.0,0.0
Djibouti,Eastern Mediterranean,15690.0,0.0,0.0,189.0,0.0,0.0
Central African Republic,Africa,15486.0,0.0,0.0,113.0,0.0,0.0
Norway,Europe,1545119.0,425.0,425.0,5732.0,0.0,0.0
Finland,Europe,1514024.0,177.0,177.0,11466.0,0.0,0.0
Kazakhstan,Europe,1504370.0,0.0,0.0,19072.0,0.0,0.0
Northern Mariana Islands,Western Pacific,14985.0,0.0,0.0,41.0,0.0,0.0
Lithuania,Europe,1440634.0,2.0,2.0,9894.0,2.0,2.0
Montserrat,Americas,1403.0,0.0,0.0,8.0,0.0,0.0
Spain,Europe,13980340.0,0.0,0.0,121852.0,0.0,0.0
Cambodia,Western Pacific,139326.0,0.0,0.0,3056.0,0.0,0.0
Croatia,Europe,1366654.0,1363.0,1363.0,18798.0,1.0,1.0
Slovenia,Europe,1364723.0,237.0,237.0,9914.0,0.0,0.0
Bulgaria,Europe,1339759.0,0.0,0.0,38771.0,1.0,1.0
Rwanda,Africa,133274.0,0.0,0.0,1468.0,0.0,0.0
Morocco,Eastern Mediterranean,1279115.0,0.0,0.0,16305.0,0.0,0.0
Gambia,Africa,12627.0,0.0,0.0,372.0,0.0,0.0
Guatemala,Americas,1254550.0,0.0,0.0,20205.0,0.0,0.0
Cameroon,Africa,125317.0,0.0,0.0,1974.0,0.0,0.0
Puerto Rico,Americas,1252713.0,0.0,0.0,5938.0,0.0,0.0
Malta,Europe,125116.0,31.0,31.0,1090.0,1.0,1.0
Costa Rica,Americas,1240862.0,41.0,41.0,9391.0,0.0,0.0
Lebanon,Eastern Mediterranean,1239904.0,0.0,0.0,10947.0,0.0,0.0
Saint Martin (French part),Unknown,12324.0,0.0,0.0,46.0,0.0,0.0
Bolivia (Plurinational State of),Americas,1212174.0,1.0,1.0,22389.0,0.0,0.0
Vanuatu,Western Pacific,12019.0,0.0,0.0,14.0,0.0,0.0
International conveyance (Vanuatu),Other,12.0,0.0,0.0,0.0,0.0,0.0
Greenland,Europe,11971.0,0.0,0.0,21.0,0.0,0.0
Yemen,Eastern Mediterranean,11945.0,0.0,0.0,2159.0,0.0,0.0
"Bonaire, Saint Eustatius and Saba",Americas,11922.0,0.0,0.0,41.0,0.0,0.0
Australia,Western Pacific,11861161.0,0.0,0.0,25236.0,0.0,0.0
Viet Nam,Western Pacific,11624000.0,0.0,0.0,43206.0,0.0,0.0
Tunisia,Eastern Mediterranean,1153361.0,0.0,0.0,29423.0,0.0,0.0
Cuba,Americas,1113809.0,0.0,0.0,8530.0,0.0,0.0
Sint Maarten (Dutch part),Americas,11051.0,0.0,0.0,92.0,0.0,0.0
Niue,Western Pacific,1092.0,0.0,0.0,0.0,0.0,0.0
Barbados,Americas,109108.0,4.0,4.0,593.0,0.0,0.0
Ecuador,Americas,1080371.0,0.0,0.0,36060.0,0.0,0.0
Angola,Africa,107487.0,0.0,0.0,1937.0,0.0,0.0
United Arab Emirates,Eastern Mediterranean,1067030.0,0.0,0.0,2349.0,0.0,0.0
Panama,Americas,1045637.0,3.0,3.0,8820.0,1.0,1.0
Uruguay,Americas,1042951.0,9.0,9.0,7696.0,1.0,1.0
United States of America,Americas,103436829.0,0.0,0.0,1228289.0,0.0,0.0
Eritrea,Africa,10189.0,0.0,0.0,103.0,0.0,0.0
Argentina,Americas,10116036.0,310.0,310.0,130810.0,3.0,3.0
Mongolia,Western Pacific,1011489.0,0.0,0.0,2136.0,0.0,0.0
Democratic Republic of the Congo,Africa,101010.0,0.0,0.0,1474.0,0.0,0.0
Nepal,South-East Asia,1003946.0,0.0,0.0,12034.0,0.0,0.0
Turkmenistan,Europe,0.0,0.0,0.0,0.0,0.0,0.0
Democratic People's Republic of Korea,South-East Asia,0.0,0.0,0.0,0.0,0.0,0.0
